"Cod birou electoral",Județ,Uat,Siruta,Localitate,Secție,Nr,Tip,Versiune,a,b,b1,b2,b3,c,d,e,f,g1,g2,g3,g4,g5,g6,g7,g8,g9,g10,g11,g12,g13,g14
43,"MUNICIPIUL BUCUREŞTI - SECTOR 2","MUNICIPIUL BUCUREŞTI",179132,"BUCUREŞTI SECTORUL 2","ŞCOALA GIMNAZIALĂ NR. 46",325,"Alegeri Prezidentiale",1,1438,838,686,152,0,829,9,1600,762,248,71,227,0,148,2,1,0,1,87,6,26,5,7
43,"MUNICIPIUL BUCUREŞTI - SECTOR 2","MUNICIPIUL BUCUREŞTI",179132,"BUCUREŞTI SECTORUL 2","ŞCOALA GIMNAZIALĂ NR. 46",326,"Alegeri Prezidentiale",1,1536,874,718,156,0,866,8,1800,926,273,66,210,2,169,2,0,0,0,96,6,21,7,14
43,"MUNICIPIUL BUCUREŞTI - SECTOR 2","MUNICIPIUL BUCUREŞTI",179132,"BUCUREŞTI SECTORUL 2","ŞCOALA GIMNAZIALĂ NR. 46",327,"Alegeri Prezidentiale",1,1568,896,801,95,0,888,7,1800,905,289,70,193,1,173,1,3,2,1,123,3,16,6,7
43,"MUNICIPIUL BUCUREŞTI - SECTOR 2","MUNICIPIUL BUCUREŞTI",179132,"BUCUREŞTI SECTORUL 2","ŞCOALA GIMNAZIALĂ NR. 46",328,"Alegeri Prezidentiale",1,1838,1031,954,76,1,1023,8,2000,969,322,77,257,2,198,2,0,2,1,120,9,25,3,5
43,"MUNICIPIUL BUCUREŞTI - SECTOR 2","MUNICIPIUL BUCUREŞTI",179132,"BUCUREŞTI SECTORUL 2","ŞCOALA GIMNAZIALĂ TUDOR ARGHEZI (FOSTA ȘCOALĂ NR. 19)",329,"Alegeri Prezidentiale",1,1049,643,460,182,1,640,3,1200,557,211,81,182,1,88,2,2,0,3,51,4,9,2,4
43,"MUNICIPIUL BUCUREŞTI - SECTOR 2","MUNICIPIUL BUCUREŞTI",179132,"BUCUREŞTI SECTORUL 2","ŞCOALA GIMNAZIALĂ TUDOR ARGHEZI (FOSTA ȘCOALĂ NR. 19)",330,"Alegeri Prezidentiale",1,903,576,416,159,1,573,3,1000,424,192,66,175,3,67,0,1,2,0,49,2,11,2,3
43,"MUNICIPIUL BUCUREŞTI - SECTOR 2","MUNICIPIUL BUCUREŞTI",179132,"BUCUREŞTI SECTORUL 2","COLEGIUL NAŢIONAL ”SPIRU HARET”",331,"Alegeri Prezidentiale",1,1154,759,490,208,61,749,10,1400,241,235,70,233,3,115,0,7,1,2,51,2,15,5,10
43,"MUNICIPIUL BUCUREŞTI - SECTOR 2","MUNICIPIUL BUCUREŞTI",179132,"BUCUREŞTI SECTORUL 2","COLEGIUL NAŢIONAL ”SPIRU HARET”",332,"Alegeri Prezidentiale",1,1146,714,534,178,2,702,12,1400,686,221,106,193,2,85,1,1,1,0,64,5,15,1,7
43,"MUNICIPIUL BUCUREŞTI - SECTOR 2","MUNICIPIUL BUCUREŞTI",179132,"BUCUREŞTI SECTORUL 2","COLEGIUL NAŢIONAL ”CANTEMIR VODĂ”",333,"Alegeri Prezidentiale",1,950,717,457,194,66,708,9,1000,283,250,78,188,5,111,0,2,0,2,51,5,11,1,4
43,"MUNICIPIUL BUCUREŞTI - SECTOR 2","MUNICIPIUL BUCUREŞTI",179132,"BUCUREŞTI SECTORUL 2","COLEGIUL NAŢIONAL ”CANTEMIR VODĂ”",334,"Alegeri Prezidentiale",1,1173,661,582,46,33,647,14,1400,739,226,79,139,1,105,1,4,3,1,64,5,12,0,7
43,"MUNICIPIUL BUCUREŞTI - SECTOR 2","MUNICIPIUL BUCUREŞTI",179132,"BUCUREŞTI SECTORUL 2","COLEGIUL NAŢIONAL ”CANTEMIR VODĂ”",335,"Alegeri Prezidentiale",1,1208,629,546,82,1,616,13,1400,771,218,66,137,6,83,4,1,0,0,82,3,8,3,5
43,"MUNICIPIUL BUCUREŞTI - SECTOR 2","MUNICIPIUL BUCUREŞTI",179132,"BUCUREŞTI SECTORUL 2","COLEGIUL NAŢIONAL ”CANTEMIR VODĂ”",336,"Alegeri Prezidentiale",1,1513,787,716,71,0,776,11,1800,1013,246,92,190,3,131,4,3,2,2,83,2,12,3,3
43,"MUNICIPIUL BUCUREŞTI - SECTOR 2","MUNICIPIUL BUCUREŞTI",179132,"BUCUREŞTI SECTORUL 2","ŞCOALA GIMNAZIALĂ NR. 24",337,"Alegeri Prezidentiale",1,1765,1005,829,176,0,1001,4,2000,995,335,83,273,2,160,4,2,0,3,109,3,15,5,7
43,"MUNICIPIUL BUCUREŞTI - SECTOR 2","MUNICIPIUL BUCUREŞTI",179132,"BUCUREŞTI SECTORUL 2","ŞCOALA GIMNAZIALĂ NR. 24",338,"Alegeri Prezidentiale",1,1557,899,764,127,8,886,13,1800,901,296,61,216,3,182,2,4,1,3,84,4,15,6,9
43,"MUNICIPIUL BUCUREŞTI - SECTOR 2","MUNICIPIUL BUCUREŞTI",179132,"BUCUREŞTI SECTORUL 2","ŞCOALA GIMNAZIALĂ NR. 24",339,"Alegeri Prezidentiale",1,1380,684,579,105,0,675,9,1604,920,197,85,199,3,79,3,2,2,2,79,4,8,5,7
43,"MUNICIPIUL BUCUREŞTI - SECTOR 2","MUNICIPIUL BUCUREŞTI",179132,"BUCUREŞTI SECTORUL 2","ŞCOALA GIMNAZIALĂ NR. 24",340,"Alegeri Prezidentiale",1,1391,715,621,93,1,711,4,1600,885,249,77,161,1,116,4,2,2,1,78,4,7,3,6
43,"MUNICIPIUL BUCUREŞTI - SECTOR 2","MUNICIPIUL BUCUREŞTI",179132,"BUCUREŞTI SECTORUL 2","ȘCOALA GIMNAZIALĂ ”MAICA DOMNULUI” (FOSTA ŞCOALA NR. 26)",341,"Alegeri Prezidentiale",1,1183,539,487,52,0,533,6,1400,861,184,47,99,0,104,4,4,0,0,67,2,9,3,10
43,"MUNICIPIUL BUCUREŞTI - SECTOR 2","MUNICIPIUL BUCUREŞTI",179132,"BUCUREŞTI SECTORUL 2","ȘCOALA GIMNAZIALĂ ”MAICA DOMNULUI” (FOSTA ŞCOALA NR. 26)",342,"Alegeri Prezidentiale",1,1324,749,690,59,0,742,7,1400,651,228,58,193,3,135,2,2,0,0,97,2,16,4,2
43,"MUNICIPIUL BUCUREŞTI - SECTOR 2","MUNICIPIUL BUCUREŞTI",179132,"BUCUREŞTI SECTORUL 2","ŞCOALA PROFESIONALĂ SPECIALĂ NR. 3",343,"Alegeri Prezidentiale",1,1541,741,650,91,0,738,3,1800,1059,221,70,189,1,127,2,1,3,0,89,7,16,3,9
43,"MUNICIPIUL BUCUREŞTI - SECTOR 2","MUNICIPIUL BUCUREŞTI",179132,"BUCUREŞTI SECTORUL 2","ŞCOALA PROFESIONALĂ SPECIALĂ NR. 3",344,"Alegeri Prezidentiale",1,1314,596,543,53,0,590,6,1400,804,193,63,151,2,83,3,5,0,0,71,3,8,3,5
43,"MUNICIPIUL BUCUREŞTI - SECTOR 2","MUNICIPIUL BUCUREŞTI",179132,"BUCUREŞTI SECTORUL 2","ŞCOALA GIMNAZIALĂ NR. 307",345,"Alegeri Prezidentiale",1,1339,903,742,160,1,892,11,1400,497,275,83,274,4,117,2,1,2,1,100,8,17,3,5
43,"MUNICIPIUL BUCUREŞTI - SECTOR 2","MUNICIPIUL BUCUREŞTI",179132,"BUCUREŞTI SECTORUL 2","ŞCOALA GIMNAZIALĂ NR. 307",346,"Alegeri Prezidentiale",1,1027,699,441,257,1,688,11,1200,501,203,54,210,0,114,1,1,1,0,72,9,14,4,5
43,"MUNICIPIUL BUCUREŞTI - SECTOR 2","MUNICIPIUL BUCUREŞTI",179132,"BUCUREŞTI SECTORUL 2","ŞCOALA GIMNAZIALĂ NR. 307",347,"Alegeri Prezidentiale",1,1447,901,716,183,2,892,9,1600,699,270,80,253,5,137,3,8,3,1,92,9,16,7,8
43,"MUNICIPIUL BUCUREŞTI - SECTOR 2","MUNICIPIUL BUCUREŞTI",179132,"BUCUREŞTI SECTORUL 2","ŞCOALA GIMNAZIALĂ NR. 71",348,"Alegeri Prezidentiale",1,1350,624,558,66,0,617,7,1600,976,225,66,142,4,88,1,0,1,1,74,2,7,4,2
43,"MUNICIPIUL BUCUREŞTI - SECTOR 2","MUNICIPIUL BUCUREŞTI",179132,"BUCUREŞTI SECTORUL 2","ŞCOALA GIMNAZIALĂ NR. 71",349,"Alegeri Prezidentiale",1,1241,733,558,175,0,722,11,1400,667,213,82,202,1,129,1,1,4,3,60,2,13,4,7
43,"MUNICIPIUL BUCUREŞTI - SECTOR 2","MUNICIPIUL BUCUREŞTI",179132,"BUCUREŞTI SECTORUL 2","COLEGIUL ECONOMIC ”A.D. XENOPOL”",350,"Alegeri Prezidentiale",1,1201,623,557,66,0,618,5,1004,381,214,68,147,2,89,0,1,2,2,58,4,11,4,16
43,"MUNICIPIUL BUCUREŞTI - SECTOR 2","MUNICIPIUL BUCUREŞTI",179132,"BUCUREŞTI SECTORUL 2","COLEGIUL ECONOMIC ”A.D. XENOPOL”",351,"Alegeri Prezidentiale",1,951,461,411,50,0,459,2,1000,539,166,60,109,2,65,1,0,1,1,33,3,11,3,4
43,"MUNICIPIUL BUCUREŞTI - SECTOR 2","MUNICIPIUL BUCUREŞTI",179132,"BUCUREŞTI SECTORUL 2","COLEGIUL ECONOMIC ”A.D. XENOPOL”",352,"Alegeri Prezidentiale",1,1321,675,600,75,0,669,6,1600,925,254,46,157,2,108,1,1,0,0,82,4,7,2,5
